Bdataset_number/I:physics_short/C:crossSection_pb/D:kFactor/D:genFiltEff/D:crossSectionTotalRelUncertUP/D
#1;95;0cid/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb
# DSID	xsec	           k-fac	   eff		      rel. unc.
##########################################################################################################################
# ttbar
361437   0.0080858         0.99132         0.1806             0.0    
361438   0.0010477         0.99132         0.56361            0.0    
361439   0.00105           0.99132         0.348277           0.0    
361440   0.0010645         0.99132         0.168462           0.0    
361441   4.1566e-06        0.99132         0.595406           0.0    
361442   4.3626e-06        0.99132         0.359953           0.0    
361443   4.3352e-06        0.99132         0.250846           0.0    
361444   11940.0           0.9141          0.7785             0.0    
361445   11950.0           0.9141          0.1401             0.0    
361446   11944.0           0.9141          0.0800             0.0    
361447   428.07            0.9141          0.6496             0.0    
361448   427.89            0.9141          0.2184             0.0    
361449   427.26            0.9141          0.1328             0.0    
361450   65.495            0.9141          0.6138             0.0    
361451   65.575            0.9141          0.2391             0.0    
361452   65.62             0.9141          0.1477             0.0    
361453   4.2615            1.006           0.5857             0.0    
361454   4.2662            1.006           0.2606             0.0    
361455   4.2734            1.006           0.1617             0.0    
361456   0.25319           1.006           0.5550             0.0    
361457   0.25372           1.006           0.2749             0.0    
361458   0.25489           1.006           0.1649             0.0    
361459   0.044471          1.006           0.5577             0.0    
361460   0.04435           1.006           0.3039             0.0    
361461   0.044316          1.006           0.1631             0.0    
361462   0.0056735         1.006           0.5347             0.0    
361463   0.0055634         1.006           0.3122             0.0    
361464   0.0057168         1.006           0.1972             0.0    
361465   2.2845e-05        1.006           0.5436             0.0    
361466   2.3352e-05        1.006           0.3456             0.0    
361467   2.3198e-05        1.006           0.2157             0.0    
#Leading
407100   2015.8            1.0             7.6991E-01         0.0    
407101   2015.5            1.0             1.4311E-01         0.0    
407102   2015.2            1.0             8.6440E-02         0.0    
407103   67.273            1.0             6.3548E-01         0.0    
407104   67.274            1.0             2.2565E-01         0.0    
407105   67.357            1.0             1.3957E-01         0.0    
407106   10.669            1.0             6.1396E-01         0.0    
407107   10.644            1.0             2.4009E-01         0.0    
407108   10.642            1.0             1.4633E-01         0.0    
407109   0.78024           1.0             5.9180E-01         0.0    
407110   0.77752           1.0             2.5810E-01         0.0    
407111   0.77903           1.0             1.5237E-01         0.0    
407112   0.048576          1.0             5.7372E-01         0.0    
407113   0.048759          1.0             2.7082E-01         0.0    
407114   0.048644          1.0             1.5742E-01         0.0    
407115   0.0087722         1.0             5.6206E-01         0.0    
407116   0.0087418         1.0             2.7801E-01         0.0    
407117   0.00874           1.0             1.6151E-01         0.0    
407118   0.0011849         1.0             5.5365E-01         0.0    
407119   0.0011946         1.0             2.9006E-01         0.0    
407120   0.0011871         1.0             1.6661E-01         0.0    
407121   2015.4            1.0             7.6961E-01         0.0    
407122   2014.5            1.0             1.4308E-01         0.0    
407123   2015.2            1.0             8.6375E-02         0.0    
407124   67.328            1.0             6.3502E-01         0.0    
407125   67.338            1.0             2.2529E-01         0.0    
407126   67.323            1.0             1.3970E-01         0.0    
407127   10.655            1.0             6.1370E-01         0.0    
407128   10.651            1.0             2.4245E-01         0.0    
407129   10.658            1.0             1.4579E-01         0.0    
407130   0.77951           1.0             5.9094E-01         0.0    
407131   0.77731           1.0             2.5832E-01         0.0    
407132   0.77937           1.0             1.5261E-01         0.0    
407133   0.048752          1.0             5.7334E-01         0.0    
407134   0.048568          1.0             2.7156E-01         0.0    
407135   0.048645          1.0             1.5820E-01         0.0    
407136   0.0087842         1.0             5.6244E-01         0.0    
407137   0.0087928         1.0             2.8069E-01         0.0    
407138   0.008789          1.0             1.5965E-01         0.0    
407139   0.0011822         1.0             5.5501E-01         0.0    
407140   0.0011869         1.0             2.9385E-01         0.0    
407141   0.0011847         1.0             1.6499E-01         0.0    
407142   2015.2            1.0             7.6930E-01         0.0    
407143   2015.4            1.0             1.4315E-01         0.0    
407144   2015.1            1.0             8.6444E-02         0.0    
407145   67.307            1.0             6.3582E-01         0.0    
407146   67.388            1.0             2.2572E-01         0.0    
407147   67.331            1.0             1.3914E-01         0.0    
407148   10.639            1.0             6.1391E-01         0.0    
407149   10.628            1.0             2.4101E-01         0.0    
407150   10.637            1.0             1.4563E-01         0.0    
407151   0.78053           1.0             5.9108E-01         0.0    
407152   0.77827           1.0             2.5830E-01         0.0    
407153   0.77906           1.0             1.5224E-01         0.0    
407154   0.048623          1.0             5.7312E-01         0.0    
407155   0.048541          1.0             2.7117E-01         0.0    
407156   0.048655          1.0             1.5764E-01         0.0    
407157   0.0087771         1.0             5.6617E-01         0.0    
407158   0.0087824         1.0             2.7845E-01         0.0    
407159   0.0087692         1.0             1.6112E-01         0.0    
407160   0.0011815         1.0             5.5433E-01         0.0    
407161   0.0011933         1.0             2.9116E-01         0.0    
407162   0.0011847         1.0             1.6696E-01         0.0    
407163   10919.0           1.0             7.6941E-01         0.0    
407164   10918.0           1.0             1.4139E-01         0.0    
407165   10919.0           1.0             8.8335E-02         0.0    
407166   378.85            1.0             6.3561E-01         0.0    
407167   379.03            1.0             2.2305E-01         0.0    
407168   378.98            1.0             1.4086E-01         0.0    
407169   59.975            1.0             6.1437E-01         0.0    
407170   60.035            1.0             2.4009E-01         0.0    
407171   60.04             1.0             1.4677E-01         0.0    
407172   4.3501            1.0             5.9212E-01         0.0    
407173   4.3551            1.0             2.5716E-01         0.0    
407174   4.3544            1.0             1.5347E-01         0.0    
407175   0.26869           1.0             5.7446E-01         0.0    
407176   0.26856           1.0             2.7030E-01         0.0    
407177   0.2686            1.0             1.5843E-01         0.0    
407178   0.048148          1.0             5.6224E-01         0.0    
407179   0.048059          1.0             2.8060E-01         0.0    
407180   0.048164          1.0             1.6184E-01         0.0    
407181   0.0064279         1.0             5.5137E-01         0.0    
407182   0.006413          1.0             2.9079E-01         0.0    
407183   0.0064412         1.0             1.6650E-01         0.0    
########
# Sherpa
363331   20026.0           0.9702          8.1453E-01         0.0    
363332   20024.0           0.9702          1.3847E-01         0.0    
363333   20021.0           0.9702          4.7014E-02         0.0    
363334   589.71            0.9702          6.5874E-01         0.0    
363335   589.95            0.9702          2.5391E-01         0.0    
363336   590.25            0.9702          8.7748E-02         0.0    
363337   84.259            0.9702          6.1610E-01         0.0    
363338   84.224            0.9702          2.7942E-01         0.0    
363339   84.177            0.9702          1.0697E-01         0.0    
363340   6.0977            0.9702          5.8597E-01         0.0    
363341   6.0737            0.9702          2.8996E-01         0.0    
363342   6.0825            0.9702          1.2700E-01         0.0    
363343   0.38154           0.9702          5.7291E-01         0.0    
363344   0.38124           0.9702          2.9171E-01         0.0    
363345   0.38218           0.9702          1.4174E-01         0.0    
363346   0.068722          0.9702          5.6621E-01         0.0    
363347   0.06877           0.9702          2.9208E-01         0.0    
363348   0.068484          0.9702          1.4523E-01         0.0    
363349   0.0090285         0.9702          5.7848E-01         0.0    
363350   0.0089116         0.9702          2.8887E-01         0.0    
363351   0.0089733         0.9702          1.5961E-01         0.0    
363352   2.6193e-05        0.9702          5.6186E-01         0.0    
363353   2.8075e-05        0.9702          2.6971E-01         0.0    
363354   2.834e-05         0.9702          1.6702E-01         0.0    
363436   20013.0           0.9702          8.1483E-01         0.0    
363437   20028.0           0.9702          1.3863E-01         0.0    
363438   20022.0           0.9702          4.7006E-02         0.0    
363439   590.64            0.9702          6.5871E-01         0.0    
363440   590.51            0.9702          2.5417E-01         0.0    
363441   589.9             0.9702          8.7598E-02         0.0    
363442   84.161            0.9702          6.1589E-01         0.0    
363443   84.188            0.9702          2.7825E-01         0.0    
363444   84.104            0.9702          1.0478E-01         0.0    
363445   6.0809            0.9702          5.8668E-01         0.0    
363446   6.0765            0.9702          2.8519E-01         0.0    
363447   6.0731            0.9702          1.3644E-01         0.0    
363448   0.38149           0.9702          5.7371E-01         0.0    
363449   0.38219           0.9702          2.9109E-01         0.0    
363450   0.38098           0.9702          1.3910E-01         0.0    
363451   0.068303          0.9702          5.6576E-01         0.0    
363452   0.068485          0.9702          2.9413E-01         0.0    
363453   0.068219          0.9702          1.4681E-01         0.0    
363454   0.0089461         0.9702          5.8431E-01         0.0    
363455   0.0088991         0.9702          3.0889E-01         0.0    
363456   0.0088975         0.9702          1.5299E-01         0.0    
363457   2.8309e-05        0.9702          5.9622E-01         0.0    
363458   2.9443e-05        0.9702          3.1533E-01         0.0    
363459   2.7016e-05        0.9702          2.0710E-01         0.0    
363460   20038.0           0.9702          8.1432E-01         0.0    
363461   20023.0           0.9702          1.3894E-01         0.0    
363462   20022.0           0.9702          4.7012E-02         0.0    
363463   590.25            0.9702          6.6037E-01         0.0    
363464   590.09            0.9702          2.5389E-01         0.0    
363465   589.58            0.9702          8.7077E-02         0.0    
363466   84.185            0.9702          6.1614E-01         0.0    
363467   84.159            0.9702          2.7777E-01         0.0    
363468   84.143            0.9702          1.0668E-01         0.0    
363469   6.0894            0.9702          5.9241E-01         0.0    
363470   6.0878            0.9702          2.8975E-01         0.0    
363471   6.0773            0.9702          1.2525E-01         0.0    
363472   0.38166           0.9702          5.7472E-01         0.0    
363473   0.38186           0.9702          2.9285E-01         0.0    
363474   0.38194           0.9702          1.3986E-01         0.0    
363475   0.068211          0.9702          5.6479E-01         0.0    
363476   0.068326          0.9702          2.9289E-01         0.0    
363477   0.068294          0.9702          1.4715E-01         0.0    
363478   0.0087439         0.9702          5.5373E-01         0.0    
363479   0.0088697         0.9702          2.8878E-01         0.0    
363480   0.0088869         0.9702          1.5644E-01         0.0    
363481   2.8839e-05        0.9702          4.9243E-01         0.0    
363482   2.7237e-05        0.9702          3.2202E-01         0.0    
363483   2.827e-05         0.9702          1.8036E-01         0.0    
########
# Sherpa
363102   71.687            0.9751          6.6956E-01         0.0    
363103   71.692            0.9751          2.0259E-01         0.0    
363104   71.719            0.9751          1.2910E-01         0.0    
363105   11.031            0.9751          6.2717E-01         0.0    
363106   11.069            0.9751          2.2456E-01         0.0    
363107   11.066            0.9751          1.4603E-01         0.0    
363108   0.83028           0.9751          6.0244E-01         0.0    
363109   0.82737           0.9751          2.4514E-01         0.0    
363110   0.83276           0.9751          1.3523E-01         0.0    
363111   0.052669          0.9751          5.8935E-01         0.0    
363112   0.052848          0.9751          2.6449E-01         0.0    
363113   0.052939          0.9751          1.5927E-01         0.0    
363114   0.0096268         0.9751          5.7945E-01         0.0    
363115   0.0095498         0.9751          2.6211E-01         0.0    
363116   0.0095039         0.9751          1.6072E-01         0.0    
363117   0.0012574         0.9751          5.6657E-01         0.0    
363118   0.0012388         0.9751          2.7264E-01         0.0    
363119   0.0012661         0.9751          1.6131E-01         0.0    
363120   4.7536e-06        0.9751          5.6638E-01         0.0    
363121   4.541e-06         0.9751          3.0587E-01         0.0    
363122   4.6862e-06        0.9751          0.188              0.0    
363361   2076.5            0.9751          8.1195E-01         0.0    
363362   2078.4            0.9751          1.1881E-01         0.0    
363363   2079.0            0.9751          7.0366E-02         0.0    
363364   2077.9            0.9751          8.1127E-01         0.0    
363365   2077.3            0.9751          1.1931E-01         0.0    
363366   2077.8            0.9751          6.9785E-02         0.0    
363367   71.961            0.9751          6.6834E-01         0.0    
363368   71.579            0.9751          2.0253E-01         0.0    
363369   71.628            0.9751          1.2873E-01         0.0    
363370   11.098            0.9751          6.2783E-01         0.0    
